player_name,draft_year,usg_y1,nc_score,new_skills,skill_details
Grayson Allen,2018-19,0.238,7.2,5,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Method_PullUp3(3.0), Zone_Rim(0.5), Zone_Above_Break_3(1.2)"
Marvin Bagley III,2018-19,0.237,2.0,2,"Zone_Corner_3(1.0), Zone_Mid_Range(1.0)"
Mo Bamba,2018-19,0.174,3.0,2,"Method_CatchShoot3(1.5), Zone_Floater(1.5)"
Mikal Bridges,2018-19,0.119,3.5,3,"Zone_Corner_3(1.0), Zone_Mid_Range(1.0), Zone_Floater(1.5)"
Miles Bridges,2018-19,0.147,4.2,2,"Method_PullUp3(3.0), Zone_Above_Break_3(1.2)"
Bruce Brown,2018-19,0.113,3.0,3,"Zone_Mid_Range(1.0), Zone_Rim(0.5), Zone_Floater(1.5)"
Jalen Brunson,2018-19,0.186,3.5,2,"Zone_Corner_3(1.0), Method_PullUp2(2.5)"
Jevon Carter,2018-19,0.172,3.0,3,"Zone_Mid_Range(1.0), Zone_Rim(0.5), Zone_Floater(1.5)"
Wendell Carter Jr.,2018-19,0.192,0.0,0,
Donte DiVincenzo,2018-19,0.145,6.7,4,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Zone_Above_Break_3(1.2), Method_PullUp3(3.0)"
Bruno Fernando,2019-20,0.147,0.0,0,
Shai Gilgeous-Alexander,2018-19,0.182,4.5,2,"Method_PullUp3(3.0), Zone_Floater(1.5)"
Aaron Holiday,2018-19,0.206,4.0,2,"Zone_Mid_Range(1.0), Method_PullUp3(3.0)"
Kevin Huerter,2018-19,0.153,5.0,3,"Zone_Mid_Range(1.0), Method_PullUp2(2.5), Zone_Floater(1.5)"
Jaren Jackson Jr.,2018-19,0.231,0.0,0,
Kevin Knox II,2018-19,0.219,0.0,0,
Cody Martin,2019-20,0.131,3.7,3,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Zone_Above_Break_3(1.2)"
De'Anthony Melton,2018-19,0.147,8.2,5,"Zone_Mid_Range(1.0), Method_PullUp3(3.0), Method_PullUp2(2.5), Zone_Above_Break_3(1.2), Zone_Rim(0.5)"
Shake Milton,2018-19,0.147,9.2,7,"Zone_Corner_3(1.0), Zone_Mid_Range(1.0), Method_CatchShoot3(1.5), Method_PullUp2(2.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2), Zone_Floater(1.5)"
Svi Mykhailiuk,2018-19,0.157,7.0,5,"Zone_Corner_3(1.0), Zone_Mid_Range(1.0), Method_CatchShoot3(1.5), Method_PullUp3(3.0), Zone_Rim(0.5)"
Josh Okogie,2018-19,0.148,0.0,0,
Michael Porter Jr.,2019-20,0.211,0.0,0,
Mitchell Robinson,2018-19,0.119,1.5,1,Zone_Floater(1.5)
Collin Sexton,2018-19,0.247,5.5,4,"Zone_Mid_Range(1.0), Zone_Rim(0.5), Method_PullUp2(2.5), Zone_Floater(1.5)"
Landry Shamet,2018-19,0.145,0.0,0,
Anfernee Simons,2018-19,0.24,7.7,5,"Zone_Corner_3(1.0), Zone_Mid_Range(1.0), Method_CatchShoot3(1.5), Method_PullUp3(3.0), Zone_Above_Break_3(1.2)"
Gary Trent Jr.,2018-19,0.213,7.2,5,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Method_PullUp3(3.0), Zone_Rim(0.5), Zone_Above_Break_3(1.2)"
Jarred Vanderbilt,2018-19,0.179,0.5,1,Zone_Rim(0.5)
Moritz Wagner,2018-19,0.21,4.7,4,"Method_CatchShoot3(1.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2), Zone_Floater(1.5)"
Lonnie Walker IV,2018-19,0.196,4.2,4,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2)"
P.J. Washington,2019-20,0.184,4.5,2,"Method_PullUp3(3.0), Zone_Floater(1.5)"
Trae Young,2018-19,0.277,2.7,3,"Zone_Mid_Range(1.0), Zone_Rim(0.5), Zone_Above_Break_3(1.2)"
Deandre Ayton,2018-19,0.21,1.0,1,Zone_Mid_Range(1.0)
Luka Dončić,2018-19,0.296,4.7,3,"Zone_Mid_Range(1.0), Zone_Above_Break_3(1.2), Method_PullUp2(2.5)"
Goga Bitadze,2019-20,0.17,0.5,1,Zone_Rim(0.5)
Robert Williams III,2018-19,0.101,3.0,3,"Zone_Mid_Range(1.0), Zone_Rim(0.5), Zone_Floater(1.5)"
Rui Hachimura,2019-20,0.189,5.2,4,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Zone_Above_Break_3(1.2), Zone_Floater(1.5)"
Haywood Highsmith,2018-19,0.115,3.0,3,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Zone_Rim(0.5)"
Terance Mann,2019-20,0.123,5.7,5,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2), Zone_Floater(1.5)"
Bol Bol,2019-20,0.206,0.0,0,
Zion Williamson,2019-20,0.291,0.0,0,
RJ Barrett,2019-20,0.234,1.2,1,Zone_Above_Break_3(1.2)
Cam Reddish,2019-20,0.185,3.0,3,"Zone_Corner_3(1.0), Zone_Rim(0.5), Zone_Floater(1.5)"
