player,season,star_potential,king_probability,bulldozer_probability,sniper_probability,victim_probability,predicted_archetype,actual_archetype,AGE,current_usage,is_star_predicted,is_star_actual,rank
KJ Martin,2023-24,0.4715827405452727,0.0774684846401214,0.3941142559051513,0.0159192625433206,0.5124979615211487,Victim (Fragile Role),,23.0,0.127,False,,351
Isaac Bonga,2019-20,0.47138611972331995,0.0455379635095596,0.4258481562137604,0.0129037890583276,0.5157101154327393,Victim (Fragile Role),,20.0,0.106,False,,352
Collin Sexton,2020-21,0.47135870903730387,0.0832937583327293,0.3880649507045746,0.0086778663098812,0.5199634432792664,Victim (Fragile Role),,22.0,0.286,False,,353
Nikola Jokić,2018-19,0.4712982140481471,0.0499353967607021,0.421362817287445,0.0081958482041955,0.520505964756012,Victim (Fragile Role),King (Resilient Star),24.0,0.271,False,True,354
Ja Morant,2023-24,0.470373585820198,0.0656944960355758,0.4046790897846222,0.0268394891172647,0.5027868747711182,Victim (Fragile Role),,24.0,0.296,False,,355
Josh Okogie,2022-23,0.470314860343933,0.1488977968692779,0.3214170634746551,0.0164295993745327,0.5132555365562439,Victim (Fragile Role),,24.0,0.174,False,,356
Landry Shamet,2020-21,0.4697986915707588,0.0565926507115364,0.4132060408592224,0.0084890145808458,0.5217123031616211,Victim (Fragile Role),,24.0,0.164,False,,357
Jalen Suggs,2023-24,0.4693545587360858,0.0391762144863605,0.4301783442497253,0.0091412765905261,0.5215041637420654,Victim (Fragile Role),Sniper (Resilient Role),23.0,0.191,False,False,358
Tyus Jones,2017-18,0.4693091884255408,0.111145831644535,0.3581633567810058,0.0173564199358224,0.5133343935012817,Victim (Fragile Role),,22.0,0.124,False,,359
Tre Jones,2021-22,0.4691508784890175,0.1113249734044075,0.35782590508461,0.02317950502038,0.5076696276664734,Victim (Fragile Role),,22.0,0.151,False,,360
Payton Pritchard,2021-22,0.4684588313102721,0.0763530731201171,0.392105758190155,0.0259634535759687,0.5055776834487915,Victim (Fragile Role),,24.0,0.18,False,,361
Naz Reid,2020-21,0.4680769294500351,0.0677005797624588,0.4003763496875763,0.0120156668126583,0.5199074149131775,Victim (Fragile Role),,21.0,0.218,False,,362
Killian Hayes,2020-21,0.467814564704895,0.1730443239212036,0.2947702407836914,0.0350658483803272,0.4971196055412292,Victim (Fragile Role),,19.0,0.185,False,,363
GG Jackson,2023-24,0.467453122138977,0.0757368803024292,0.3917162418365478,0.015042102895677,0.5175047516822815,Victim (Fragile Role),,19.0,0.238,False,,364
Scoot Henderson,2024-25,0.467284083366394,0.1245757639408111,0.3427083194255829,0.0368644930422306,0.4958514273166656,Victim (Fragile Role),,21.0,0.22,False,,365
Bradley Beal,2016-17,0.4652211219072342,0.1213855892419815,0.3438355326652527,0.0102846547961235,0.5244942307472229,Victim (Fragile Role),King (Resilient Star),24.0,0.258,False,True,366
Patrick Williams,2023-24,0.4651632159948349,0.0797944515943527,0.3853687644004822,0.0170922111719846,0.5177446007728577,Victim (Fragile Role),,22.0,0.163,False,,367
KZ Okpala,2019-20,0.4650822430849075,0.0858761221170425,0.379206120967865,0.0120828701183199,0.5228348970413208,Victim (Fragile Role),,21.0,0.102,False,,368
Quinn Cook,2016-17,0.4650822430849075,0.0858761221170425,0.379206120967865,0.0120828701183199,0.5228348970413208,Victim (Fragile Role),,24.0,0.192,False,,369
Jared Butler,2023-24,0.4650822430849075,0.0858761221170425,0.379206120967865,0.0120828701183199,0.5228348970413208,Victim (Fragile Role),,23.0,0.194,False,,370
Trendon Watford,2024-25,0.46462744474411,0.0879451930522918,0.3766822516918182,0.023291828110814,0.512080729007721,Victim (Fragile Role),,24.0,0.226,False,,371
Terence Davis,2019-20,0.46435798332095135,0.0615892522037029,0.4027687311172485,0.0183587465435266,0.5172832608222961,Victim (Fragile Role),,23.0,0.181,False,,372
Anthony Davis,2016-17,0.46420440450310696,0.0458588637411594,0.4183455407619476,0.0058172764256596,0.529978334903717,Victim (Fragile Role),,24.0,0.321,False,,373
Duane Washington Jr.,2021-22,0.4640652313828467,0.0805781260132789,0.3834871053695678,0.0328289046883583,0.5031058192253113,Victim (Fragile Role),,22.0,0.214,False,,374
OG Anunoby,2019-20,0.46392104029655445,0.0375078320503234,0.4264132082462311,0.007429267745465,0.5286497473716736,Victim (Fragile Role),Victim (Fragile Role),22.0,0.142,False,False,375
Zach LaVine,2015-16,0.4635546877980232,0.0991374924778938,0.3644171953201294,0.0100118825212121,0.5264334082603455,Victim (Fragile Role),,21.0,0.228,False,,376
Daniel Hamilton,2017-18,0.4633890241384505,0.0899882167577743,0.3734008073806762,0.0101092709228396,0.5265017151832581,Victim (Fragile Role),,22.0,0.2,False,,377
Trent Forrest,2020-21,0.4633890241384505,0.0899882167577743,0.3734008073806762,0.0101092709228396,0.5265017151832581,Victim (Fragile Role),,23.0,0.144,False,,378
Nassir Little,2021-22,0.4633329845964908,0.0416225530207157,0.4217104315757751,0.0278632771223783,0.5088037252426147,Victim (Fragile Role),,22.0,0.155,False,,379
Payton Pritchard,2020-21,0.4633217602968215,0.0818012505769729,0.3815205097198486,0.0231061708182096,0.513572096824646,Victim (Fragile Role),,23.0,0.162,False,,380
Marvin Bagley III,2021-22,0.4632492624223232,0.0346136949956417,0.4286355674266815,0.0211982019245624,0.5155525207519531,Victim (Fragile Role),,23.0,0.191,False,,381
Bryn Forbes,2017-18,0.46299442648887634,0.1015486121177673,0.361445814371109,0.0204101838171482,0.5165953636169434,Victim (Fragile Role),,24.0,0.159,False,,382
Davion Mitchell,2021-22,0.4625165387988089,0.0527668520808219,0.409749686717987,0.0195812005549669,0.5179022550582886,Victim (Fragile Role),,23.0,0.202,False,,383
Jamal Murray,2019-20,0.4621831029653549,0.0901457518339157,0.3720373511314392,0.009975828230381,0.5278410911560059,Victim (Fragile Role),King (Resilient Star),23.0,0.248,False,True,384
Nick Smith Jr.,2024-25,0.46157273650169367,0.102188229560852,0.3593845069408417,0.0201921369880437,0.5182350873947144,Victim (Fragile Role),,21.0,0.205,False,,385
Tyrell Terry,2020-21,0.4614989757537841,0.0867829918861389,0.3747159838676452,0.0101448772475123,0.52835613489151,Victim (Fragile Role),,20.0,0.135,False,,386
LaMelo Ball,2024-25,0.46110443770885456,0.1102900952100753,0.3508143424987793,0.0255468226969242,0.5133487582206726,Victim (Fragile Role),,23.0,0.342,False,,387
Christian Braun,2023-24,0.4609807915985584,0.0412555821239948,0.4197252094745636,0.015273711644113,0.5237455368041992,Victim (Fragile Role),,23.0,0.152,False,,388
Kobi Simmons,2017-18,0.4606989473104476,0.1428729742765426,0.317825973033905,0.0208388529717922,0.5184621810913086,Victim (Fragile Role),,20.0,0.163,False,,389
LaMelo Ball,2023-24,0.4606662541627884,0.1183943599462509,0.3422718942165375,0.0372402369976043,0.502093493938446,Victim (Fragile Role),,22.0,0.315,False,,390
Jake LaRavia,2024-25,0.4604672417044639,0.0727315172553062,0.3877357244491577,0.0129085704684257,0.5266242027282715,Victim (Fragile Role),,23.0,0.14,False,,391
David Nwaba,2016-17,0.4602724127471446,0.0455274693667888,0.4147449433803558,0.0116960247978568,0.5280315279960632,Victim (Fragile Role),,24.0,0.118,False,,392
Jalen Johnson,2024-25,0.4602486789226532,0.0617721378803253,0.3984765410423279,0.0200098920613527,0.519741415977478,Victim (Fragile Role),,23.0,0.214,False,,393
Tyrese Haliburton,2023-24,0.4601269736886024,0.0882820263504982,0.3718449473381042,0.0071838190779089,0.5326892137527466,Victim (Fragile Role),Victim (Fragile Role),24.0,0.239,False,False,394
Jonathan Kuminga,2023-24,0.4599913116544485,0.0238360222429037,0.4361552894115448,0.0171899627894163,0.5228187441825867,Victim (Fragile Role),,21.0,0.237,False,,395
Isaiah Collier,2024-25,0.459764540195465,0.1599985361099243,0.2997660040855407,0.0298112891614437,0.5104241371154785,Victim (Fragile Role),,20.0,0.186,False,,396
Jarrett Culver,2019-20,0.4597087390720844,0.0602939613163471,0.3994147777557373,0.0183771457523107,0.5219141244888306,Victim (Fragile Role),,21.0,0.187,False,,397
Santi Aldama,2023-24,0.4595212582498788,0.0265575889497995,0.4329636693000793,0.0076679466292262,0.5328107476234436,Victim (Fragile Role),,23.0,0.177,False,,398
Nickeil Alexander-Walker,2021-22,0.4595146030187607,0.0546693354845047,0.404845267534256,0.0117616420611739,0.5287237763404846,Victim (Fragile Role),,23.0,0.237,False,,399
