stress_vector,outcome_metric,pearson_r,pearson_p,spearman_r,spearman_p,n_samples
PRESSURE_RESILIENCE_DELTA,PO_TS_PCT,0.2139869807234383,2.3840002134851066e-07,0.23550591477707314,1.1943330090439016e-08,572
PRESSURE_RESILIENCE_DELTA,PO_VOL_RATIO,-0.04775398488602934,0.2541774025970757,-0.030475995489387273,0.46694767166743456,572
PRESSURE_RESILIENCE_DELTA,PO_EFF_RATIO,0.23629374060155134,1.0642353636340166e-08,0.2652145817883274,1.1567649741099329e-10,572
PRESSURE_RESILIENCE_DELTA,PO_RESILIENCE_SCORE,0.117709387131817,0.004819661842800541,0.13032292253165972,0.0017878495773539455,572
RS_LATE_CLOCK_PRESSURE_APPETITE,PO_DOMINANCE,-0.04453545755193836,0.2876319309831398,-0.0325697575409493,0.43688883884894547,572
RS_LATE_CLOCK_PRESSURE_APPETITE,PO_RQ,0.04055552305801195,0.33293269325385294,0.02243236121130739,0.5923748026185417,572
RS_LATE_CLOCK_PRESSURE_APPETITE,PO_PTS_PER_75,-0.06952946756592512,0.09665796603398896,-0.061104922432897404,0.14440431348106592,572
RS_LATE_CLOCK_PRESSURE_APPETITE,PO_TS_PCT,0.07488896444358148,0.07350548536050688,0.05321559092338552,0.20378261915344817,572
RS_LATE_CLOCK_PRESSURE_APPETITE,PO_VOL_RATIO,-0.015504596669121403,0.7113623010963427,-0.033389078994130725,0.425435916643773,572
RS_LATE_CLOCK_PRESSURE_APPETITE,PO_EFF_RATIO,0.09965166027586933,0.017123541595252163,0.08208559891110627,0.04973689491484927,572
RS_LATE_CLOCK_PRESSURE_APPETITE,PO_RESILIENCE_SCORE,0.04055552305801195,0.33293269325385294,0.02243236121130739,0.5923748026185417,572
RS_EARLY_CLOCK_PRESSURE_APPETITE,PO_DOMINANCE,0.044535457551938384,0.2876319309831398,0.032638831303135794,0.43591650501926626,572
RS_EARLY_CLOCK_PRESSURE_APPETITE,PO_RQ,-0.04055552305801191,0.33293269325385294,-0.022352894293284152,0.5936870377400083,572
RS_EARLY_CLOCK_PRESSURE_APPETITE,PO_PTS_PER_75,0.06952946756592514,0.09665796603398896,0.06110729925164794,0.14438867205875067,572
RS_EARLY_CLOCK_PRESSURE_APPETITE,PO_TS_PCT,-0.07488896444358147,0.07350548536050688,-0.05304308748986272,0.20525438447735714,572
RS_EARLY_CLOCK_PRESSURE_APPETITE,PO_VOL_RATIO,0.01550459666912141,0.7113623010963427,0.03327638707561834,0.42700073685376505,572
RS_EARLY_CLOCK_PRESSURE_APPETITE,PO_EFF_RATIO,-0.0996516602758693,0.017123541595252163,-0.08196167039274177,0.05008382411587617,572
RS_EARLY_CLOCK_PRESSURE_APPETITE,PO_RESILIENCE_SCORE,-0.04055552305801191,0.33293269325385294,-0.022352894293284152,0.5936870377400083,572
