player,season,usage_level,current_usage,predicted_archetype,actual_archetype,king_probability,is_king_predicted,is_king_actual,is_false_positive,is_false_negative,is_true_positive,is_true_negative
Enes Freedom,2018-19,0.3,0.219,Victim (Fragile Role),Victim (Fragile Role),0.028223492205142975,False,False,False,False,False,True
Enes Freedom,2018-19,0.35,0.219,Victim (Fragile Role),Victim (Fragile Role),0.03374553099274635,False,False,False,False,False,True
Cory Joseph,2015-16,0.15,0.166,Victim (Fragile Role),Victim (Fragile Role),0.0024946341291069984,False,False,False,False,False,True
Cory Joseph,2015-16,0.2,0.166,Sniper (Resilient Role),Victim (Fragile Role),0.0021297719795256853,False,False,False,False,False,True
Cory Joseph,2015-16,0.25,0.166,Victim (Fragile Role),Victim (Fragile Role),0.02637690119445324,False,False,False,False,False,True
Cory Joseph,2015-16,0.3,0.166,Victim (Fragile Role),Victim (Fragile Role),0.05128408968448639,False,False,False,False,False,True
Cory Joseph,2015-16,0.35,0.166,Victim (Fragile Role),Victim (Fragile Role),0.07096482068300247,False,False,False,False,False,True
Malcolm Brogdon,2019-20,0.15,0.249,Victim (Fragile Role),Sniper (Resilient Role),0.003792007453739643,False,False,False,False,False,True
Malcolm Brogdon,2019-20,0.2,0.249,Victim (Fragile Role),Sniper (Resilient Role),0.00800209492444992,False,False,False,False,False,True
Malcolm Brogdon,2019-20,0.25,0.249,Victim (Fragile Role),Sniper (Resilient Role),0.030972057953476906,False,False,False,False,False,True
Malcolm Brogdon,2019-20,0.3,0.249,Victim (Fragile Role),Sniper (Resilient Role),0.05930062755942345,False,False,False,False,False,True
Malcolm Brogdon,2019-20,0.35,0.249,Victim (Fragile Role),Sniper (Resilient Role),0.0705040991306305,False,False,False,False,False,True
Jerami Grant,2019-20,0.15,0.177,Victim (Fragile Role),Victim (Fragile Role),0.000949556939303875,False,False,False,False,False,True
Jerami Grant,2019-20,0.2,0.177,Victim (Fragile Role),Victim (Fragile Role),0.0024670124985277653,False,False,False,False,False,True
Jerami Grant,2019-20,0.25,0.177,Victim (Fragile Role),Victim (Fragile Role),0.004765970632433891,False,False,False,False,False,True
Jerami Grant,2019-20,0.3,0.177,Victim (Fragile Role),Victim (Fragile Role),0.014857473783195019,False,False,False,False,False,True
Jerami Grant,2019-20,0.35,0.177,Victim (Fragile Role),Victim (Fragile Role),0.024280661717057228,False,False,False,False,False,True
JJ Redick,2018-19,0.15,0.209,Victim (Fragile Role),Victim (Fragile Role),0.0007753422250971198,False,False,False,False,False,True
JJ Redick,2018-19,0.2,0.209,Victim (Fragile Role),Victim (Fragile Role),0.0016778926365077496,False,False,False,False,False,True
JJ Redick,2018-19,0.25,0.209,Victim (Fragile Role),Victim (Fragile Role),0.005527119617909193,False,False,False,False,False,True
JJ Redick,2018-19,0.3,0.209,Victim (Fragile Role),Victim (Fragile Role),0.013848085887730122,False,False,False,False,False,True
JJ Redick,2018-19,0.35,0.209,Victim (Fragile Role),Victim (Fragile Role),0.02146718092262745,False,False,False,False,False,True
Luka Dončić,2023-24,0.15,0.355,Victim (Fragile Role),King (Resilient Star),0.0022002640180289745,False,True,False,True,False,False
Luka Dončić,2023-24,0.2,0.355,Victim (Fragile Role),King (Resilient Star),0.006420675665140152,False,True,False,True,False,False
Luka Dončić,2023-24,0.25,0.355,Victim (Fragile Role),King (Resilient Star),0.025960449129343033,False,True,False,True,False,False
Luka Dončić,2023-24,0.3,0.355,Victim (Fragile Role),King (Resilient Star),0.02835172414779663,False,True,False,True,False,False
Luka Dončić,2023-24,0.35,0.355,Victim (Fragile Role),King (Resilient Star),0.037083134055137634,False,True,False,True,False,False
Al-Farouq Aminu,2015-16,0.15,0.166,Victim (Fragile Role),Sniper (Resilient Role),0.0011006888234987855,False,False,False,False,False,True
Al-Farouq Aminu,2015-16,0.2,0.166,Victim (Fragile Role),Sniper (Resilient Role),0.003180217929184437,False,False,False,False,False,True
Al-Farouq Aminu,2015-16,0.25,0.166,Victim (Fragile Role),Sniper (Resilient Role),0.016164612025022507,False,False,False,False,False,True
