PLAYER_NAME,SEASON,USG_PCT,DEPENDENCE_SCORE,ASSISTED_FGM_PCT,OPEN_SHOT_FREQUENCY,SELF_CREATED_USAGE_RATIO,DEPENDENCE_CATEGORY
Tyreke Evans,2018-19,0.255,0.3951450642953106,0.3129251700680272,0.2288401253918495,0.24047619047619045,Moderate
Lou Williams,2018-19,0.308,0.3029711301823509,0.19585849870578076,0.1285431773236651,0.2814495254529767,Low
Derrick Rose,2018-19,0.261,0.28795351716678863,0.1971066907775768,0.0838971583220568,0.2810126582278481,Low
DeMar DeRozan,2018-19,0.277,0.2624592132045302,0.1537324464153732,0.0714704159343878,0.2961936437546194,Low
Trae Young,2018-19,0.277,0.33587443298969066,0.1631999999999999,0.268041237113402,0.29288000000000003,Low
Johnathan Motley,2018-19,0.266,0.5303994197701669,0.7242990654205608,0.0422960725075528,0.09649532710280373,High
Terrence Jones,2018-19,0.333,0.703125,0.75,0.5,0.0875,High
James Harden,2018-19,0.396,0.21701093645597463,0.06960227272727282,0.0587995100040832,0.3256392045454545,Low
J.J. Barea,2018-19,0.263,0.3096153219946254,0.16782407407407407,0.1865745310957551,0.29126157407407405,Low
Walt Lemon Jr.,2018-19,0.253,0.2501847298287446,0.11396743787489294,0.0917874396135265,0.31011139674378746,Low
Michael Beasley,2018-19,0.288,0.37270970935276304,0.3605015673981191,0.098471986417657,0.2238244514106583,Moderate
Zhou Qi,2018-19,0.333,0.65,1.0,0.0,0.0,High
Donatas Motiejunas,2018-19,0.323,,0.7518796992481204,,0.08684210526315786,
Ike Anigbogu,2018-19,0.267,0.7666666666666667,1.0,0.3333333333333333,0.0,High
Donte Grantham,2018-19,0.333,0.825,1.0,0.5,0.0,High
Nikola Vučević,2019-20,0.258,0.6940110071250278,0.8791032826261009,0.3157262905162065,0.07253803042433946,High
Kristaps Porziņģis,2019-20,0.263,0.6695210360091831,0.8946938775510205,0.221255438160348,0.06318367346938769,High
Karl-Anthony Towns,2019-20,0.278,0.651334871430646,0.8411290322580645,0.225098480585256,0.05560483870967742,High
Anthony Davis,2019-20,0.284,0.6117390211379982,0.77938808373591,0.1979638009049773,0.07721417069243153,High
Joel Embiid,2019-20,0.315,0.6113338384455722,0.7773689052437903,0.1996185632549268,0.0779208831646734,High
Nikola Jokić,2019-20,0.266,0.5963559183581493,0.7612488521579431,0.1792774369461486,0.0835629017447199,High
Andre Drummond,2019-20,0.253,0.5352422555619555,0.7275541795665634,0.0515988372093023,0.09535603715170278,High
Zion Williamson,2019-20,0.291,0.563184116733056,0.7591499409681228,0.0874243443174176,0.08429752066115702,High
Brandon Ingram,2019-20,0.275,0.43605664533059885,0.4734876773711726,0.1220897217490062,0.1842793129200896,Moderate
Bradley Beal,2019-20,0.338,0.39032458123541003,0.36310904872389793,0.1451683428071709,0.22291183294663572,Moderate
Pascal Siakam,2019-20,0.278,0.45323855467746743,0.42370572207084467,0.2405200433369447,0.20170299727520435,High
